image,ALB,BET,DOL,LAG,NoF,OTHER,SHARK,YFT
img_05156.jpg,0.3549893200,0.0468838662,0.0162896980,0.0478270017,0.1478001475,0.2953755558,0.0118565997,0.0789777935
img_05038.jpg,0.3816565573,0.0478670299,0.0142120691,0.0068238005,0.0226201341,0.1164263487,0.1249326542,0.2854613960
img_02074.jpg,0.4747594297,0.1338124126,0.0152992010,0.0407820083,0.0643170848,0.1314290166,0.0075852233,0.1320155412
img_06549.jpg,0.7195044160,0.1123755351,0.0046473187,0.0479283668,0.0234592836,0.0451151393,0.0097583728,0.0372115523
img_06294.jpg,0.7388758659,0.0459881760,0.0422938615,0.0124871833,0.0288549494,0.0163637642,0.0156944077,0.0994417146
img_06962.jpg,0.1975218803,0.0639175251,0.0128742615,0.0190635119,0.0149701461,0.0968162939,0.3031475842,0.2916887999
img_00018.jpg,0.7014959455,0.0741929114,0.0087979957,0.0806168988,0.0095495796,0.0251732767,0.0046247249,0.0955486819
img_06662.jpg,0.7584128976,0.0378024578,0.0091237240,0.0195630286,0.0129275182,0.0896631405,0.0033014391,0.0692057684
img_05563.jpg,0.5022403598,0.1685878187,0.0070866900,0.0820552334,0.0166527797,0.0239857603,0.0138627132,0.1855286211
img_06076.jpg,0.0346776843,0.2517256439,0.0109795304,0.0066825529,0.6479310393,0.0108873295,0.0154258544,0.0216903929
img_07757.jpg,0.4334957898,0.0889849588,0.0311691891,0.0076605319,0.1479903907,0.0423797034,0.0391147323,0.2092047185
img_06103.jpg,0.3731209934,0.0254814625,0.0345754586,0.0117071485,0.3851020634,0.0520176850,0.0087433262,0.1092518345
img_07084.jpg,0.0659599826,0.0294946432,0.0627160892,0.0028265482,0.1358995289,0.0155075407,0.0212060679,0.6663895249
img_03943.jpg,0.7670245767,0.0097172791,0.0250823926,0.0022854172,0.0464101397,0.0367869548,0.0095736990,0.1031194702
img_01803.jpg,0.0573884957,0.0959443673,0.1961997151,0.0051797372,0.0099251019,0.0060245134,0.0066378503,0.6227002144
img_05692.jpg,0.1443636268,0.0774834827,0.1552341729,0.0171134751,0.0560232736,0.0533192195,0.0181563329,0.4783064425
img_05976.jpg,0.2058309168,0.0203784481,0.0090746470,0.0052607828,0.0190996397,0.1630613357,0.1249952838,0.4522989094
img_03584.jpg,0.2730959654,0.0428603441,0.0709213912,0.0112019880,0.1628557295,0.0358929597,0.0182124153,0.3849592209
img_01179.jpg,0.7101469040,0.0298529211,0.0056046564,0.0188992936,0.1134135351,0.0425527804,0.0062931119,0.0732368752
img_07251.jpg,0.5733554363,0.0204108208,0.0152202500,0.0051381667,0.0137642445,0.1734287888,0.1369084567,0.0617738105
img_02651.jpg,0.4781743586,0.0195053387,0.0332001448,0.0039791842,0.0493700467,0.0254520532,0.0100423684,0.3802764714
img_05719.jpg,0.0221220572,0.0305763651,0.0911864713,0.0037804090,0.0145430630,0.0061566490,0.0040409784,0.8275938630
img_02398.jpg,0.3758777082,0.0610923506,0.0068783094,0.0252985228,0.0165490452,0.4087466300,0.0063387449,0.0992186442
img_04657.jpg,0.5610651970,0.1328162104,0.0109206280,0.0706238747,0.0417186879,0.1010115817,0.0080947280,0.0737491027
img_01058.jpg,0.3235151470,0.0932554081,0.0251263957,0.0197990853,0.0511061884,0.1189490184,0.0223689750,0.3458797634
img_00543.jpg,0.6443862915,0.0682435259,0.0101803048,0.0054416829,0.1779379696,0.0122580230,0.0287422370,0.0528099202
img_07921.jpg,0.2873102427,0.0282462407,0.0382833667,0.0229409393,0.0128026968,0.3410173357,0.0423484445,0.2270507365
img_00962.jpg,0.2116408795,0.1000497416,0.0682156458,0.0113414936,0.0669337884,0.0585654266,0.0084466496,0.4748063982
img_07436.jpg,0.1827563047,0.0258194711,0.0349810421,0.0072384835,0.0535451211,0.2174234241,0.2899832726,0.1882529259
img_00282.jpg,0.5640367866,0.0470625646,0.0090214005,0.0910099149,0.0674195066,0.1739490628,0.0072435918,0.0402571559
img_02406.jpg,0.2889328301,0.1543433815,0.0300152805,0.1886943728,0.0738615468,0.1926139742,0.0147660160,0.0567725264
img_00764.jpg,0.1913708597,0.0167631507,0.0188554078,0.0034759489,0.0863685384,0.0266667809,0.0249369424,0.6315622926
img_04323.jpg,0.6284417510,0.0372343175,0.0141057745,0.0079381578,0.2519610822,0.0088890521,0.0122422194,0.0391876958
img_06756.jpg,0.5794357657,0.0685918704,0.0158401188,0.0436706059,0.0139765637,0.1824292988,0.0138745969,0.0821812376
img_05927.jpg,0.8631889224,0.0549698435,0.0014041229,0.0124176815,0.0204269905,0.0136368871,0.0092431903,0.0247122776
img_04726.jpg,0.0064203958,0.0022687931,0.0006599895,0.0011417464,0.9766592979,0.0095384391,0.0008786958,0.0024326264
img_01802.jpg,0.3895423114,0.1343147904,0.0223420393,0.0145980483,0.2337702066,0.0343994610,0.0262863189,0.1447467953
img_05916.jpg,0.2251417637,0.0175239388,0.0276047122,0.0072510368,0.5095865726,0.0421553403,0.0106294090,0.1601071954
img_00244.jpg,0.4113164842,0.2650501728,0.0043731262,0.0081103509,0.0289555471,0.0456130356,0.0108581483,0.2257231325
img_02379.jpg,0.4886832237,0.0329952575,0.0389048196,0.0282874275,0.0393706448,0.0477336086,0.0576402806,0.2663847208
img_02347.jpg,0.5602988601,0.0789017677,0.0402030386,0.0063948655,0.1017533317,0.0562966801,0.0281485412,0.1280029267
img_00009.jpg,0.5899245739,0.2210690230,0.0046739397,0.0582526922,0.0193155538,0.0518234409,0.0044792206,0.0504616164
img_06658.jpg,0.2094433457,0.0820183679,0.0094238510,0.0142038018,0.0274423603,0.1690347344,0.0807338282,0.4076996148
img_02216.jpg,0.5080674291,0.0143866884,0.0244012345,0.0044879955,0.1323097795,0.0738930181,0.0273706038,0.2150833160
img_00311.jpg,0.6538581252,0.1236813739,0.0060350136,0.0080090286,0.1119567230,0.0079483697,0.0203803554,0.0681309775
img_04647.jpg,0.4176661670,0.3386690319,0.0123114819,0.0172231197,0.0931457803,0.0215813350,0.0458888672,0.0535142459
img_03456.jpg,0.0940945819,0.0193619300,0.0045594242,0.0098373825,0.7134585381,0.1117500737,0.0142125329,0.0327255540
img_04266.jpg,0.1758804470,0.0414618813,0.0301837269,0.0136146545,0.0391714908,0.1965697557,0.0844522491,0.4186657965
img_06345.jpg,0.5625701547,0.0238791239,0.0181252882,0.0015478382,0.0463063307,0.0311612356,0.0887758732,0.2276340574
img_00591.jpg,0.0982433632,0.0464315228,0.0083666081,0.0073736827,0.0195466299,0.0777497813,0.1941738725,0.5481145382
img_03444.jpg,0.7144589424,0.1559574455,0.0020999303,0.0060006976,0.0167594180,0.0142838778,0.0129257357,0.0775139406
img_00729.jpg,0.7457379699,0.0197852924,0.0333487093,0.0043623131,0.1163265705,0.0238607880,0.0133288587,0.0432495289
img_03726.jpg,0.2688150108,0.0433430858,0.0112482915,0.0074107423,0.0657644048,0.1776983887,0.0455160886,0.3802039921
img_05718.jpg,0.2015964985,0.0928527787,0.0100690881,0.0176994447,0.0364252776,0.1849795431,0.0534013472,0.4029760063
img_03941.jpg,0.3492853940,0.0263021644,0.0165542308,0.0311152991,0.0591252111,0.4097180367,0.0152140642,0.0926855728
img_05030.jpg,0.4981118143,0.0466582216,0.0151675353,0.0033308866,0.0354859382,0.0438875593,0.2017197758,0.1556383222
img_01171.jpg,0.2132895738,0.0206789356,0.0139720151,0.0054580090,0.5817918777,0.0400851704,0.0231955126,0.1015288904
img_02834.jpg,0.2600986063,0.0373114645,0.0194578674,0.0084902002,0.0201992448,0.1158131957,0.0632743537,0.4753550589
img_01856.jpg,0.5817896724,0.0347857438,0.0364535004,0.0097690700,0.0193942804,0.0582601540,0.0416930877,0.2178544551
img_00407.jpg,0.2929024398,0.1114468500,0.0389951356,0.0494781248,0.0792670175,0.1492940336,0.0120235169,0.2665928602
img_04271.jpg,0.7470417619,0.0178204551,0.0028759672,0.0045953598,0.1671708673,0.0513109230,0.0035820815,0.0056026285
img_00772.jpg,0.1557685286,0.0573426522,0.2423325926,0.0110199424,0.0693756938,0.0214857012,0.0055914051,0.4370834529
img_06469.jpg,0.6761397719,0.0607507564,0.0119312769,0.0257576108,0.0377058983,0.0998441651,0.0076639839,0.0802064836
img_03853.jpg,0.6372437477,0.0592203699,0.0437013656,0.0105049796,0.0427790917,0.0202524513,0.0410162322,0.1452818066
img_00865.jpg,0.3615036905,0.2273063213,0.0051827971,0.0220790338,0.0056318562,0.0728179887,0.0107738664,0.2947044075
img_00979.jpg,0.1235707030,0.1062619016,0.1245162711,0.0094456812,0.0637660697,0.0214943606,0.0204902012,0.5304548144
img_04585.jpg,0.0456234179,0.0143267205,0.0233247727,0.0013934885,0.8530338407,0.0158154611,0.0064233015,0.0400590599
img_03942.jpg,0.4926206172,0.2782903016,0.0034121934,0.0963369086,0.0145775238,0.0491215102,0.0051581264,0.0604827218
img_06642.jpg,0.2868235409,0.0309615154,0.0180435460,0.0057280152,0.0617700107,0.1200650409,0.1252900958,0.3513182700
img_01824.jpg,0.2367997020,0.0243207198,0.0510521196,0.0050538420,0.0264892783,0.1862278581,0.2029531151,0.2671034038
img_05792.jpg,0.1615965217,0.0216435622,0.0256610680,0.0069004311,0.0186373089,0.1107993051,0.2793932259,0.3753685951
img_02771.jpg,0.5868197083,0.1611802727,0.0076686665,0.0579160787,0.0026592382,0.0479063205,0.0037744499,0.1320752054
img_04250.jpg,0.3103916645,0.0246321727,0.0084831482,0.0070145731,0.6273059249,0.0099401502,0.0042792629,0.0079531483
img_07448.jpg,0.5811614990,0.0610350259,0.0155940121,0.0516916215,0.0173633453,0.1516132504,0.0062184357,0.1153228059
img_00212.jpg,0.5820427537,0.0258089509,0.0182833225,0.0022590363,0.0232127476,0.0257239342,0.0717473701,0.2509218752
img_04073.jpg,0.4969834387,0.1474008411,0.0305121895,0.0363167562,0.0143985329,0.0503772497,0.0315118171,0.1924992055
img_02607.jpg,0.3443492353,0.0710551739,0.0418178774,0.0388048291,0.1501250118,0.1952493042,0.0186517183,0.1399468631
img_06137.jpg,0.0599221475,0.0510271899,0.0534844138,0.0083064549,0.0152270710,0.0282038432,0.0098865842,0.7739422917
img_02876.jpg,0.3668505251,0.1373237520,0.0165287908,0.0201326367,0.0433049947,0.0310585629,0.0376371779,0.3471635282
img_04015.jpg,0.6155745387,0.1645605415,0.0042522405,0.0172898043,0.0731550530,0.0606254637,0.0146760857,0.0498662554
img_07045.jpg,0.3765947521,0.0137082031,0.0206834767,0.0063888072,0.4177589715,0.0328454077,0.0070317821,0.1249885485
img_00777.jpg,0.5094160438,0.2368931621,0.0028902369,0.0088573555,0.0250485297,0.1676589400,0.0107194595,0.0385162570
img_04382.jpg,0.0951957777,0.2169208080,0.1102550551,0.0236030053,0.0285581630,0.0228614043,0.0190536547,0.4835521877
img_02641.jpg,0.6518027782,0.0469566025,0.0154973315,0.0296326224,0.0536451824,0.1344412416,0.0074204342,0.0606037714
img_03563.jpg,0.4860322773,0.2487771660,0.0034549159,0.1074508950,0.0119980434,0.0161723364,0.0095496969,0.1165646687
img_00587.jpg,0.2223623842,0.0854418948,0.0183741618,0.0150547074,0.0209415462,0.1517864615,0.1455720514,0.3404668570
img_03547.jpg,0.5283589959,0.2153493315,0.0044975556,0.0662584379,0.0213953573,0.1045656204,0.0171808358,0.0423938073
img_04814.jpg,0.1662374586,0.0912020877,0.2595622838,0.0111165503,0.0409192294,0.0305439252,0.0155898957,0.3848284781
img_07543.jpg,0.4194850922,0.1361659914,0.0233022049,0.0144334501,0.1448650509,0.1383008957,0.0156655088,0.1077818051
img_07590.jpg,0.6591019034,0.1045460179,0.0049439049,0.0324996673,0.0312530361,0.0242887903,0.0076649599,0.1357017010
img_00948.jpg,0.2994239032,0.0294734407,0.0128411567,0.0085567692,0.4489581883,0.1159887090,0.0292820055,0.0554757603
img_05087.jpg,0.7518182397,0.0379257314,0.0103540765,0.0045306683,0.1156857237,0.0204722006,0.0090056881,0.0502075665
img_06902.jpg,0.2372251302,0.0460455902,0.0074556358,0.0051400554,0.5784143806,0.0541509129,0.0208481327,0.0507201813
img_06985.jpg,0.8075768352,0.0462206714,0.0067018247,0.0064317207,0.0462736301,0.0379981808,0.0041578873,0.0446392857
img_03527.jpg,0.1284340769,0.1248702034,0.1057764068,0.0144783286,0.0392266251,0.0236523841,0.0143913999,0.5491705537
img_00473.jpg,0.1596550792,0.0446612947,0.0271328073,0.0105119543,0.0398599543,0.0503259189,0.0572589673,0.6105940342
img_07792.jpg,0.1930551678,0.0849062800,0.0241012871,0.0175448675,0.0439558811,0.2317350060,0.1932132393,0.2114882469
img_05322.jpg,0.8569632173,0.0335968919,0.0052310792,0.0019090167,0.0523947589,0.0131021542,0.0054540527,0.0313488282
img_07149.jpg,0.8436077237,0.0414866172,0.0038399079,0.0029078780,0.0620023571,0.0059308927,0.0079801576,0.0322444402
img_05755.jpg,0.4957928360,0.1778891534,0.0053670951,0.0286622103,0.0174491722,0.1261462122,0.0131636122,0.1355297714
img_00538.jpg,0.2658691108,0.1835334748,0.0078953356,0.3295030594,0.0178926829,0.0743974969,0.0110266693,0.1098822132
img_00289.jpg,0.5458012223,0.0754290298,0.0126556689,0.0209627543,0.1199132428,0.0600620024,0.0205556899,0.1446203440
img_06059.jpg,0.0414963812,0.0147445137,0.0224335045,0.0047092675,0.8571091294,0.0219200198,0.0088006472,0.0287864562
img_03426.jpg,0.7083634734,0.0160128679,0.0460358113,0.0035780331,0.1439060420,0.0233695488,0.0129703311,0.0457638241
img_05459.jpg,0.6005801558,0.1464605778,0.0082087507,0.0204595905,0.0077981357,0.0403896011,0.0046179784,0.1714852303
img_02808.jpg,0.3740836084,0.1062228754,0.0307297837,0.0513260253,0.1045607403,0.1523500085,0.0080599478,0.1726670265
img_06238.jpg,0.3744105995,0.0618096180,0.0142365238,0.0158022642,0.3630672395,0.0814224854,0.0195242018,0.0697271302
img_00726.jpg,0.6018698812,0.0268572625,0.0394589119,0.0029618035,0.1482930034,0.0209932793,0.0791866109,0.0803793073
img_00128.jpg,0.1429265738,0.0846205950,0.0758630037,0.0103453137,0.0276723113,0.0238677878,0.0078221178,0.6268823147
img_04870.jpg,0.4048270881,0.0437299274,0.0234240275,0.0850303099,0.0479033254,0.2424209565,0.0069692549,0.1456951648
img_00676.jpg,0.0082315719,0.0037394583,0.0016962941,0.0015808981,0.9595690370,0.0199829135,0.0021776089,0.0030222598
img_05085.jpg,0.4656384885,0.0503076650,0.0118598379,0.0077295932,0.2429112047,0.1150079146,0.0304448176,0.0761004314
img_04101.jpg,0.3948490620,0.2648744285,0.0041499198,0.0296950173,0.0284473915,0.1646092385,0.0085230442,0.1048518941
img_04624.jpg,0.1397350878,0.0374029391,0.0466942936,0.0120530045,0.0174078122,0.3241471052,0.0676075891,0.3549520969
img_04640.jpg,0.1285097748,0.0418631583,0.0230731349,0.0136091681,0.0966238752,0.1789590120,0.1145076081,0.4028542340
img_07420.jpg,0.0647430047,0.1253588796,0.0086161206,0.6332932115,0.0256061051,0.0293853153,0.0088270279,0.1041703597
img_04408.jpg,0.4387009442,0.2327244431,0.0053535695,0.1443629712,0.0144849448,0.0175342988,0.0122869797,0.1345518976
img_01198.jpg,0.4978277981,0.0954143777,0.0348909050,0.0068883398,0.1397029012,0.0399179123,0.0372811519,0.1480765492
img_03080.jpg,0.5112750530,0.0459789000,0.0379391573,0.0092067504,0.0552702844,0.0493823327,0.0227249395,0.2682225704
img_02270.jpg,0.5755949616,0.0648896694,0.0108439131,0.0396421812,0.0280343834,0.1953447312,0.0116178999,0.0740321949
img_02766.jpg,0.6160023808,0.0784095898,0.0154580539,0.0165438671,0.1803368479,0.0201532338,0.0073958212,0.0657002404
img_05488.jpg,0.6480038762,0.1670821756,0.0071633388,0.0503214858,0.0124399075,0.0621490292,0.0063070278,0.0465331674
img_04532.jpg,0.1216999367,0.0218043867,0.0489865281,0.0116021624,0.0109992251,0.4377265871,0.0547713973,0.2924096882
img_05241.jpg,0.4124848843,0.0604467951,0.0099029848,0.1281015426,0.0553149842,0.2376880646,0.0132130096,0.0828477815
img_02285.jpg,0.6619128585,0.0197833851,0.0227758419,0.0066391123,0.1883554012,0.0120915240,0.0141144590,0.0743273795
img_02146.jpg,0.3899835348,0.0797152445,0.0175805073,0.0194146167,0.3667409718,0.0536901020,0.0170184020,0.0558565892
img_07678.jpg,0.5221399665,0.1598053724,0.0060632522,0.0953064859,0.0149774076,0.1230668798,0.0046873181,0.0739533603
img_07094.jpg,0.5352396369,0.0423732586,0.0267345365,0.0044392566,0.0676281080,0.0399475433,0.0581370927,0.2255005687
img_01392.jpg,0.1001142487,0.1529552341,0.1443771571,0.0085517308,0.0586461462,0.0129549848,0.0035094337,0.5188910365
img_01441.jpg,0.3568749726,0.0379594006,0.0810264722,0.0068947212,0.1176184937,0.0246167351,0.0242069196,0.3508022130
img_07717.jpg,0.5798854828,0.1455575079,0.0038771012,0.0285726022,0.0297330450,0.1227556691,0.0144077921,0.0752108023
img_05516.jpg,0.2664886415,0.0602888353,0.0172012392,0.0202949028,0.0571461916,0.0795355216,0.1132928804,0.3857517242
img_01325.jpg,0.3040263951,0.1995737404,0.0362056494,0.0217568260,0.2114783973,0.0286286194,0.0316846631,0.1666456610
img_07426.jpg,0.3740265071,0.1128110364,0.0178773385,0.1102392152,0.0455283634,0.1452210397,0.0149395047,0.1793569475
img_00857.jpg,0.8148452640,0.0400230251,0.0079773972,0.0026022324,0.0724090934,0.0133604174,0.0064011007,0.0423812978
img_05824.jpg,0.1015618443,0.0090691531,0.0266495589,0.0017236270,0.8088472486,0.0114766648,0.0083680293,0.0323038250
img_04503.jpg,0.2345123440,0.0250416715,0.0014549238,0.0075835004,0.6980577111,0.0139773162,0.0039439532,0.0154284714
img_06616.jpg,0.3782272637,0.0439544208,0.0354281999,0.0123347752,0.0541379862,0.1867421120,0.0575350635,0.2316400856
img_06541.jpg,0.4178508818,0.0561182983,0.0410627984,0.0059192367,0.1384346932,0.0264056865,0.0156305414,0.2985778153
img_02307.jpg,0.1044220999,0.0243604947,0.0229374003,0.0063198297,0.0476973988,0.2036594599,0.3167118728,0.2738914490
img_05475.jpg,0.3050156534,0.0262008142,0.0029387271,0.0045066471,0.5866033435,0.0580783822,0.0056457971,0.0110106282
img_07213.jpg,0.4086870849,0.0386847854,0.0464725904,0.0138050457,0.1244313493,0.1263705641,0.0290160198,0.2125325650
img_00071.jpg,0.0687419251,0.1124885157,0.0054754280,0.6905964017,0.0233958792,0.0189060289,0.0061509782,0.0742448270
img_00109.jpg,0.8173846602,0.0106301149,0.0096489424,0.0082845753,0.0896051601,0.0209904406,0.0140529582,0.0294031352
img_07594.jpg,0.3799812794,0.0541545413,0.0379805900,0.0026686250,0.0528696515,0.0329099260,0.0268948656,0.4125405252
img_03283.jpg,0.2524928749,0.2857751846,0.0131305382,0.1044808626,0.0087702572,0.0313468277,0.0134299500,0.2905735672
img_04127.jpg,0.4420026839,0.0272859484,0.0044009853,0.0042120521,0.0116401864,0.1073604897,0.0491683669,0.3539292514
img_06860.jpg,0.2050341815,0.0539943911,0.0059057088,0.0136413919,0.6507003903,0.0156112360,0.0239062477,0.0312064271
img_04145.jpg,0.1905792803,0.0369566046,0.0241492391,0.0096256966,0.0572513305,0.2603875697,0.2199540287,0.2010962218
img_06851.jpg,0.4906893075,0.0432688929,0.0115297539,0.0140885273,0.0590453260,0.0633081868,0.1570407599,0.1610292196
img_07908.jpg,0.4957358539,0.2415838242,0.0046082325,0.0592031069,0.0250464529,0.0971703157,0.0108606899,0.0657915100
img_03931.jpg,0.4264642894,0.1386773586,0.0185317118,0.0102856271,0.2504655123,0.0257443134,0.0213594381,0.1084718183
img_00816.jpg,0.4641578496,0.0340776406,0.0145606669,0.0212943833,0.3508023024,0.0601030551,0.0056465841,0.0493574925
img_03471.jpg,0.2097389251,0.2947487533,0.0196148995,0.2782812119,0.0083295256,0.0303813014,0.0120105846,0.1468948573
img_07663.jpg,0.4296080768,0.2159148604,0.0212503448,0.0255185235,0.0780353025,0.1337110400,0.0039340872,0.0920277759
img_07065.jpg,0.2137988061,0.0361516736,0.0183920488,0.0073312768,0.0321558565,0.1479742378,0.0812253281,0.4629708230
img_05879.jpg,0.4978296459,0.0887862444,0.0051880064,0.0236101747,0.2254214287,0.0965498462,0.0112846801,0.0513299219
img_03452.jpg,0.2368936688,0.4310568869,0.0213266239,0.0126680890,0.0853775367,0.0650595799,0.0196126457,0.1280049682
img_06922.jpg,0.1943979412,0.0649919584,0.0139902299,0.0182095412,0.0115312077,0.0750584006,0.2309489250,0.3908717930
img_01825.jpg,0.2138005644,0.1775852293,0.0514492281,0.0380326957,0.1675773710,0.0359472223,0.0319037922,0.2837040126
img_03952.jpg,0.7774155736,0.0500737168,0.0108985482,0.0082117626,0.0093714753,0.0267112721,0.0025046112,0.1148130074
img_02412.jpg,0.6646800637,0.0055581401,0.0092797698,0.0013235669,0.1925278753,0.0316272043,0.0299338829,0.0650694296
img_05857.jpg,0.5033598542,0.1634132713,0.0032233677,0.0572665967,0.0290393922,0.1065106913,0.0101106530,0.1270761937
img_05192.jpg,0.5040609241,0.0600248314,0.0117096724,0.0207275692,0.0123310694,0.1063340381,0.0629941300,0.2218177468
img_02180.jpg,0.3804076612,0.0132028172,0.0471686982,0.0060980339,0.1046405658,0.1043303683,0.0644791797,0.2796726525
img_00828.jpg,0.0125746531,0.0053322283,0.0012578922,0.0029339476,0.9427965283,0.0304031502,0.0014769611,0.0032246432
img_07623.jpg,0.6557204723,0.0304463301,0.0319414474,0.0048293280,0.0567375161,0.0616434179,0.0198644679,0.1388169974
img_05393.jpg,0.4959446490,0.1390540749,0.0146939950,0.0227363259,0.0443008095,0.0750191510,0.0458696894,0.1623813361
img_05673.jpg,0.6896872520,0.0423408113,0.0128601631,0.0234701987,0.0668322966,0.0970536768,0.0056858840,0.0620697178
img_03652.jpg,0.5867915750,0.0418263711,0.0258821081,0.0182816666,0.0511133410,0.1115424857,0.0108425505,0.1537199020
img_05958.jpg,0.0372085609,0.0512575246,0.0048185135,0.0058565685,0.0047538909,0.0069383755,0.0076889773,0.8814775348
img_00582.jpg,0.7251072526,0.1299092770,0.0046681934,0.0123539418,0.0442398526,0.0545716099,0.0126360878,0.0165137947
img_01538.jpg,0.6716868281,0.1341935843,0.0037338324,0.0058184494,0.0188281704,0.0897255465,0.0183772519,0.0576364100
img_05328.jpg,0.4352935851,0.1065737680,0.0276055243,0.0285358708,0.0532269217,0.0390714593,0.0406374969,0.2690553665
img_07173.jpg,0.4899463952,0.0340553485,0.0061003785,0.0125928698,0.0063399845,0.0169854630,0.0460700952,0.3879093826
img_06424.jpg,0.6509507298,0.0334180109,0.0281256158,0.0040225140,0.1714213639,0.0107120089,0.0242021997,0.0771475360
img_03760.jpg,0.6754164100,0.0236080587,0.0336561464,0.0052960753,0.0524626039,0.1102182940,0.0197146367,0.0796278045
img_00125.jpg,0.5968897939,0.1232456490,0.0092268204,0.0086837672,0.0254846793,0.0867919400,0.0236646999,0.1260126978
img_06210.jpg,0.2193335146,0.0571558364,0.0200089458,0.0175536815,0.0211386979,0.1213632748,0.1807643622,0.3626816571
img_00894.jpg,0.6311259270,0.0736650229,0.0168309864,0.0068478477,0.0898660794,0.0750022903,0.0231246054,0.0835371688
img_02687.jpg,0.4846970737,0.0483849533,0.0119527942,0.0088753616,0.1601065248,0.0428534485,0.0181817543,0.2249481231
img_06585.jpg,0.6103157401,0.0365910344,0.0081992457,0.0129081616,0.1717731804,0.1393076330,0.0042610760,0.0166439563
img_07122.jpg,0.8377893567,0.0597900338,0.0039580944,0.0101906843,0.0100831836,0.0223688390,0.0077418913,0.0480780713
img_06748.jpg,0.0357243530,0.0487782024,0.0353389569,0.0043878634,0.0058867484,0.0188352410,0.0049026473,0.8461459279
img_02648.jpg,0.0828780159,0.0492052175,0.1461495310,0.0066170837,0.0206840504,0.0409623235,0.0111329937,0.6423707604
img_02739.jpg,0.6384916902,0.0586243905,0.0100672292,0.0050379396,0.1858402044,0.0093149506,0.0210610628,0.0715624169
img_00999.jpg,0.4867415726,0.0462924391,0.0239002034,0.0122630140,0.0605724156,0.0886709914,0.0744322762,0.2071270794
img_06845.jpg,0.4880324900,0.1532227844,0.0484815985,0.0321322232,0.0559089221,0.0707024634,0.0277608912,0.1237585470
img_00646.jpg,0.0888983384,0.0366636626,0.0996141136,0.0058672219,0.0342226028,0.0316510648,0.0191643536,0.6839186549
